,Unnamed: 0,BrandName,Deatils,Sizes,MRP,SellPrice,Discount,Category
5362,6,cover story,printed round neck recycle polyester womens regular dress - green,Size:X-Small,"Rs
2990",2093,30% off,Westernwear-Women
5363,7,and,floral round neck polyester womens straight top - white,"Size:8,10,16","Rs
2299",1839,20% off,Westernwear-Women
5364,8,and,solid polyester round neck womens regular fit top - wine,Size:8,"Rs
1899",949,50% off,Westernwear-Women
5365,9,kraus,solid acrylic turtle neck womens sweater - multi,"Size:Medium,X-Large","Rs
1699",849,50% off,Westernwear-Women
5366,10,and,solid polyester square neck womens regular gown - blue mix light,"Size:14,16","Rs
2799",1959,30% off,Westernwear-Women
5367,11,and,solid tie up neck polyester womens fit & flare dress - pink mix,"Size:14,16","Rs
1899",949,50% off,Westernwear-Women
5368,12,faballey,solid round neck lace womens a-line dress - purple,"Size:Large,Small","Rs
2650",1325,50% off,Westernwear-Women
5369,13,and,floral full sleeves viscose women calf length jumpsuits - blue,"Size:8,12,14","Rs
3299",2144,35% off,Westernwear-Women
5370,14,latin quarters,solid shawl neck polyester stretch womens casual shrug - grey,"Size:S,X-Small","Rs
1599",799,50% off,Westernwear-Women
5371,15,latin quarters,dyed polyester hood womens casual jacket - green,"Size:S,M,L,XL","Rs
2499",1249,50% off,Westernwear-Women
5372,16,zink london,printed rayon womens fit and flare dress - black,"Size:Medium,Small","Rs
2899",1159,60% off,Westernwear-Women
5373,17,zink london,solid hood polyester women casual jackets - rust,"Size:Large,Small","Rs
4499",1799,60% off,Westernwear-Women
5374,18,kraus,skinny fit ankle length cotton womens jeans - pink,"Size:28,30,32,34,36","Rs
1795",1256,30% off,Westernwear-Women
5375,19,zink london,checks cotton womens shift dress - navy,"Size:Large,Medium,X-Large","Rs
2299",919,60% off,Westernwear-Women
5376,20,enamor,cotton womens activewear t-shirt - canal,"Size:XL,Large,Medium,Small",Nan,749,No Discount,Westernwear-Women
5377,21,only,loose fit ankle length cotton womens jeans - blue,"Size:25,26,27,28,29,30,31,32,33,34","Rs
3699",2959,20% off,Westernwear-Women
5378,22,Nan,Nan,Nan,Nan,Nan,No Discount,Westernwear-Women
5379,23,is.u,womens black short sleeve shirt - black,Size:Large,"Rs
1490",745,50% off,Westernwear-Women
5380,24,kraus,skinny fit ankle length cotton blend womens jeans - blue,"Size:28,30,32,34,36,38","Rs
1895",1326,30% off,Westernwear-Women
5381,25,life,womens knitted casual socks - pink,Nan,Nan,99,No Discount,Westernwear-Women
5382,0,zink london,geometric polyester u neck womens top - multi,"Size:Large,Medium,Small,X-Large","Rs
1499",749,50% off,Westernwear-Women
5383,1,vero moda,printed polyester v neck womens  tops - blue,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2599",2079,20% off,Westernwear-Women
5384,2,gipsy,solid cotton collared neck womens regular fit tunic - mango,Size:XXX-Large,"Rs
1795",1256,30% off,Westernwear-Women
5385,3,spykar,regular fit regular cotton womens jeans - light blue,"Size:26,28,30,32,34","Rs
2699",1889,30% off,Westernwear-Women
5386,4,vero moda,solid cotton v neck womens shirt - black,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2499",1999,20% off,Westernwear-Women
5387,5,gipsy,womens round neck embroidered top - black,"Size:Medium,Small,XX-Large",Nan,920,No Discount,Westernwear-Women
5388,6,zink london,solid shirt collar polyester womens coat - black,"Size:Large,Medium,Small,X-Large","Rs
5999",2399,60% off,Westernwear-Women
5389,7,infuse,checks viscose v-neck womens regular fit woven top - black,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
999",399,60% off,Westernwear-Women
5390,8,gipsy,embellished boat neck polyester womens flared dress - wine,"Size:X-Large,XX-Large",Nan,2995,No Discount,Westernwear-Women
5391,9,stop,solid regular fit viscose blend womens formal leggings - brown,"Size:28,30,32,34,36","Rs
999",499,50% off,Westernwear-Women
5392,10,stop,regular fit full length acrylic womens leggings - grey,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
999",499,50% off,Westernwear-Women
5393,11,stop,solid regular neck viscose blend womens top - blush,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1499",749,50% off,Westernwear-Women
5394,12,latin quarters,dyed rayon shirt collar womens blouse - black,"Size:S,M,L,XL","Rs
1399",699,50% off,Westernwear-Women
5395,13,kraus,solid tencel collared neck womens regular fit shirt - blue,"Size:Small,X-Large","Rs
1499",749,50% off,Westernwear-Women
5396,14,faballey,solid crepe round neck womens regular top - purple,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1400",1120,20% off,Westernwear-Women
5397,15,lovegen,womens round neck graphic print t-shirt - pink,"Size:Medium,Small,X-Large","Rs
999",399,60% off,Westernwear-Women
5398,16,global desi,checked round neck womens top - natural,"Size:Medium,Small,X-Small","Rs
1999",999,50% off,Westernwear-Women
5399,17,vero moda,textured polyester round neck womens t-shirt - green,"Size:Large,Medium,Small,X-Large","Rs
1799",1439,20% off,Westernwear-Women
5400,18,is.u,womens blue stripe button down shirt - blue,"Size:Medium,Small,X-Large","Rs
1890",661,65% off,Westernwear-Women
5401,19,global desi,solid sleeveless viscose womens regular jumpsuit - indigo,"Size:XL,Large,Medium,Small,X-Small","Rs
2899",2319,20% off,Westernwear-Women
